"","id","title","score"
"1",16612,"Carmencita",3.41789693758769
"2",88013,"Pauvre Pierrot",6.29282596094653
"3",16624,"Blacksmith Scene",6.58713458945406
"4",105158,"Edison Kinetoscopic Record of a Sneeze",2.68655694590499
"5",774,"La Sortie de l'Usine Lumière à Lyon",3.91713465689526
"6",160,"L'arrivée d'un train en gare de La Ciotat",5.70781491123001
"7",82120,"Arroseur et arrosé",8.11245928810819
"8",127762,"Baignade en Mer",2.71778833864397
"9",122134,"Repas de Bébé",3.57445528093926
"10",129865,"Démolition d'un mur",3.77087350679084
"11",104466,"Escamotage d'une dame chez Robert-Houdin",3.49829084605126
"12",133063,"Le manoir du diable",4.21454781417764
"13",104462,"Une nuit terrible",5.07588276657627
"14",104460,"Une partie de cartes",2.31358512712718
"15",104476,"L'Auberge ensorcelée",3.0526526484193
"16",159900,"Ella Lola, a la Trilby",1.55423042174427
"17",104700,"La lune à un mètre",3.85352249926071
"18",114108,"Cendrillon",4.81527291354133
"19",104704,"Le Diable au couvent",4.4535804504769
"20",49295,"L'Illusionniste fin de siècle",6.89788467145919
"21",179236,"Grandma's Reading Glass",6.01362556926352
"22",179235,"Let Me Dream Again",5.03191731874956
"23",49279,"L'Homme à la tête de caoutchouc",6.27556942208576
"24",190605,"Panorama of Esplanade by Night",2.17683766737147
"25",144436,"Jack and the Beanstalk",4.84224651961775
"26",775,"Le Voyage dans la Lune",8.41116978342498
"27",41278,"Alice in Wonderland",3.49961261203213
"28",119984,"Faust et Méphistophélès",2.2370011712823
"29",5698,"The Great Train Robbery",7.47971447499319
"30",44341,"Life of an American Fireman",5.21339141245271
"31",49273,"Le Mélomane",5.72657099554177
"32",32673,"Le royaume des fées",6.16093511421828
"33",143801,"The Sick Kitten",5.98132508159455
"34",105352,"The Land Beyond the Sunset",4.87178618174282
"35",94643,"Rescued by Rover",6.37225958052648
"36",2963,"Voyage à travers l'impossible",7.19597144177624
"37",143634,"El hotel eléctrico",5.91944957577451
"38",144444,"New York Subway",2.77300018286829
"39",132379,"The '?' Motorist",5.20667071837185
"40",94702,"Dream of a Rarebit Fiend",5.47350544782431
"41",134750,"Humorous Phases of Funny Faces",6.03493151914967
"42",137757,"Les quatre cents farces du diable",4.47922889247539
"43",20105,"The Story of the Kelly Gang",4.8716140598376
"44",150396,"Le spectre rouge",3.08735151049334
"45",85221,"Fantasmagorie",6.08846275315211
"46",49270,"A Corner in Wheat",6.64290304009589
"47",36874,"The Country Doctor",6.06607214802276
"48",127105,"The Lonely Villa",6.41502999437604
"49",20650,"The Sealed Room",4.37904353873795
"50",118943,"Those Awful Hats",6.8108527372239
"51",77133,"Afgrunden",6.25340384332452
"52",2929,"Frankenstein",5.18531111808302
"53",189586,"In the Border States",4.44067922693521
"54",189584,"The Unchanging Sea",5.83141054116042
"55",53759,"The Wonderful Wizard of Oz",5.61756089132903
"56",90056,"Mest kinematograficheskogo operatora (Cameraman's Revenge)",6.95685462870005
"57",193959,"Her Crowning Glory",6.33706010188002
"58",100247,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",6.56939349539762
"59",130450,"The Lonedale Operator",3.19004767897732
"60",190883,"The Miser's Heart",2.71829501725451
"61",193827,"A Beast at Bay",5.338203000941
"62",193899,"The Burglar’s Dilemma",2.57093174721139
"63",71266,"Cleopatra",3.65301950172949
"64",114146,"À la Conquête du Pôle",6.78359602343406
"65",70512,"L'inferno",6.35422917180401
"66",192301,"The Mender of Nets",2.68945843908451
"67",42553,"The Musketeers of Pig Alley",6.77110256667926
"68",128671,"The New York Hat",3.12350109398013
"69",191068,"The Painted Lady",5.65290235041753
"70",46758,"Richard III",4.44842618270923
"71",205504,"Trädgårdsmästaren",2.79811982726087
"72",116857,"Death's Marathon",2.79549029007698
"73",56508,"Fantômas: À l'ombre de la guillotine",6.68184138521436
"74",191427,"The House of Darkness",2.58514139594474
"75",147622,"Ingeborg Holm",6.46855587750901
"76",127017,"The Inside of the White Slave Traffic",2.14950129003386
"77",56511,"Fantômas: Juve contre Fantômas",6.56567517445182
"78",56516,"Fantômas: Le mort qui tue",6.30897692461377
"79",28627,"Der Student von Prag",5.8966900207681
"80",96128,"Traffic in Souls",5.7633915889506
"81",133123,"Gli ultimi giorni di Pompeii",5.30349219586341
"82",28196,"The Avenging Conscience: or 'Thou Shalt Not Kill'",5.09955058378348
"83",125673,"The Battle at Elderbush Gulch",3.91556236278394
"84",5153,"Cabiria",5.3716846170021
"85",92349,"Cinderella",4.84039104910487
"86",56512,"Fantômas: Fantômas contre Fantômas",6.17102192310933
"87",56515,"Fantômas: Le faux magistrat",6.12275740401211
"88",100246,"Gertie the Dinosaur",7.33214680488508
"89",147621,"Det hemmelighedsfulde X",5.35473907837467
"90",53397,"His Musical Career",6.37733435052119
"91",53392,"His New Profession",6.46499837053407
"92",151085,"Hypocrites",7.0610606694912
"93",199989,"In the Land of the Head Hunters",6.14128177466622
"94",98078,"Judith of Bethulia",5.07107962396465
"95",53385,"The Knockout",6.32139002099479
"96",22892,"Laughing Gas",6.54832154224223
"97",53374,"Mabel at the Wheel",7.17529196350024
"98",53387,"Mabel's Married Life",6.1719663629316
"99",53368,"Making a Living",6.31830628309592
"100",151086,"The Ocean Waif",6.10968116716119
"101",36821,"The Perils of Pauline",7.58562732869928
"102",161710,"The Squaw Man",3.1335751760877
"103",22943,"Tillie's Punctured Romance",6.33034170455106
"104",227077,"A tolonc",5.21098994392672
